id,ticker,stock,industry
118548a2-25b6-11ec-93be-8c859079d2ba,KAKATCEM,Kakatiya Cement Sugar & Industries Ltd.,Cement & Construction Materials
118548de-25b6-11ec-8a9d-8c859079d2ba,KSL,Kalyani Steels Ltd.,Steel & Iron Products
1185491a-25b6-11ec-99f9-8c859079d2ba,KANELOIL,Kanel Industries Ltd.,Agriculture
11854958-25b6-11ec-9fd2-8c859079d2ba,WHIRLPOOL,Whirlpool Of India Ltd.,Consumer Durables - Domestic Appliances
11854992-25b6-11ec-98ff-8c859079d2ba,KGDENIM,KG Denim Ltd.,Textile - Weaving
118549cc-25b6-11ec-b2a2-8c859079d2ba,KINETICENG,Kinetic Engineering Ltd.,Auto Ancillary
11854a14-25b6-11ec-b35e-8c859079d2ba,KIRLOSBROS,Kirloskar Brothers Ltd.,Engineering - Industrial Equipments
11854a50-25b6-11ec-80d4-8c859079d2ba,KIRLOSIND,Kirloskar Industries Ltd.,Engineering - Industrial Equipments
11854a8c-25b6-11ec-a210-8c859079d2ba,KIRLFER,Kirloskar Ferrous Industries Ltd.,Castings-Forgings
11854abe-25b6-11ec-a88e-8c859079d2ba,KIRLOSELEC,Envair Electrodyne Ltd.,Engineering - Industrial Equipments
11854afa-25b6-11ec-827f-8c859079d2ba,KOTAKBANK,Kotak Mahindra Bank Ltd.,Bank - Private
11854b36-25b6-11ec-9837-8c859079d2ba,KRISNAFILA,Krishna Filament Industries Ltd.,Plastic Products
11854b74-25b6-11ec-8a4e-8c859079d2ba,KSB,KSB Ltd.,Engineering - Industrial Equipments
11854bae-25b6-11ec-8ad0-8c859079d2ba,LGBBROSLTD,LG Balakrishnan & Bros Ltd.,Auto Ancillary
11854be8-25b6-11ec-bafe-8c859079d2ba,TRENT,Trent Ltd.,Retailing
11854c26-25b6-11ec-82a8-8c859079d2ba,LAXMIMACH,Lakshmi Machine Works Ltd.,Textile - Machinery
11854c62-25b6-11ec-8175-8c859079d2ba,LICHSGFIN,LIC Housing Finance Ltd.,Finance - Housing
11854c9e-25b6-11ec-b2b0-8c859079d2ba,LUPIN,Lupin Ltd.,Pharmaceuticals & Drugs
11854cda-25b6-11ec-9a99-8c859079d2ba,LYKALABS,Lyka Labs Ltd.,Pharmaceuticals & Drugs
11854d0c-25b6-11ec-a4b9-8c859079d2ba,RAMCOCEM,The Ramco Cements Ltd.,Cement & Construction Materials
11854d48-25b6-11ec-9caf-8c859079d2ba,MAFATLAIND,Mafatlal Industries Ltd.,Textile
11854d86-25b6-11ec-969e-8c859079d2ba,MAHSEAMLES,Maharashtra Seamless Ltd.,Steel & Iron Products
11854dc0-25b6-11ec-b749-8c859079d2ba,MAHSCOOTER,Maharashtra Scooters Ltd.,Auto Ancillary
11854dfa-25b6-11ec-9945-8c859079d2ba,MAJESAUTO,Majestic Auto Ltd.,Electric Equipment
11854e38-25b6-11ec-81d6-8c859079d2ba,MANALIPETC,Manali Petrochemicals Ltd.,Chemicals
11854e74-25b6-11ec-81b8-8c859079d2ba,MFSL,Max Financial Services Ltd.,Finance - Others
11854eb0-25b6-11ec-b903-8c859079d2ba,MESCOPHARM,Mesco Pharmaceuticals Ltd.,Pharmaceuticals & Drugs
11854eec-25b6-11ec-9a69-8c859079d2ba,MIDINDIA,Mid India Industries Ltd.,Textile - Spinning
11854f28-25b6-11ec-b0ed-8c859079d2ba,MIRCELECTR,Mirc Electronics Ltd.,Consumer Durables - Electronics
11854f64-25b6-11ec-9074-8c859079d2ba,CENTENKA,Century Enka Ltd.,Textile
11854f9e-25b6-11ec-9a12-8c859079d2ba,MODIALKALI,Lords Chloro Alkali Ltd.,Chemicals
11854fdc-25b6-11ec-b892-8c859079d2ba,SPICEJET,SpiceJet Ltd.,Airlines
11855018-25b6-11ec-8b34-8c859079d2ba,MOREPENLAB,Morepen Laboratories Ltd.,Pharmaceuticals & Drugs
11855054-25b6-11ec-a704-8c859079d2ba,MRF,MRF Ltd.,Tyres & Allied
11855086-25b6-11ec-bc0c-8c859079d2ba,HEIDELBERG,Heidelberg Cement India Ltd.,Cement & Construction Materials
